Cd_taxon;CSi;Ei
ACOCAL;7;3
ACOVUL;7;3
AGRSTO;10;1
ALCSCA;20;3
ALIBRE;8;2
ALILAN;9;2
ALINAT;14;3
ALIPLA;8;2
ALISTE;9;2
ALISUB;8;2
AMBFLU;11;2
AMBRIP;5;2
AMBTEN;15;2
ANEPIN;14;2
APIINU;17;3
APINOD;10;1
AUDSPX;13;2
AZOCAR;6;3
AZOFIL;6;3
BAGATR;10;2
BANATR;10;2
BANSPX;10;2
BATSPX;16;2
BERERE;14;2
BINSPX;14;2
BRAPLU;18;3
BRARIV;15;2
BUTUMB;9;2
CALBRH;12;1
CALHAM;12;1
CALOBT;8;2
CALPLA;10;1
CALSTA;12;2
CALTRF;10;2
CALTRO;10;2
CALTRU;10;2
CARROS;15;3
CARVES;12;2
CATAQU;11;2
CERDEA;5;2
CERDED;5;2
CERDEI;5;2
CERDEM;5;2
CERMUR;2;3
CERSUB;2;3
CHAGLO;13;1
CHAHIM;15;2
CHAHIS;15;2
CHAVUL;13;1
CHAVUO;13;1
CHAVUP;13;1
CHESPX;12;2
CHIPAL;14;2
CHIPOL;15;2
CINAQU;15;2
CINDAN;13;3
CINFON;12;2
CINNIG;13;2
CINRIP;13;2
CLAAEG;6;1
CLAGLO;6;1
CLASPX;6;1
COLFLU;17;3
CRACOL;15;2
CRACOM;15;2
CRAFIL;18;3
DEBSPX;13;2
DERWEB;16;3
DIASPX;12;2
DRASPX;18;3
DREADU;15;3
DREFLU;14;2
DREKNE;15;3
DREPOL;15;3
DRESIM;15;3
ELDPAL;17;3
ELEPAL;12;2
ELEPAP;12;2
ELEPAV;12;2
ELEPAW;12;2
ELGFLU;18;3
ELOCAN;10;2
ELONUT;8;2
ENTINT;3;2
ENTSPX;3;2
EQUFLU;12;2
EQULIM;12;2
EQUMAX;12;2
EQUPAL;10;1
FISCRA;12;2
FISCRI;14;3
FISFON;7;3
FISGRN;15;3
FISIMP;11;2
FISMIL;12;2
FISMIN;14;3
FISPOL;20;3
FISPUS;14;2
FISRUF;14;3
FISVIR;11;2
FONANG;10;1
FONANI;10;1
FONANT;10;1
FONHYD;14;3
FONSQU;16;3
GLYFLU;14;2
GRODEN;11;2
HELINU;17;3
HELNOD;10;1
HILRIV;15;2
HILSPX;15;2
HIPTET;12;2
HIPVUL;12;2
HOTPAL;12;2
HYAFLU;11;2
HYATEN;15;2
HYDMOR;11;3
HYGDIL;19;3
HYGDUR;19;3
HYGLUR;19;3
HYGOCH;19;3
HYIREI;6;2
HYIRET;6;2
HYISPX;6;2
HYOARM;20;3
HYPELO;17;3
HYRVUL;14;2
HYUFOE;16;2
HYUSPX;16;2
IRIPSE;10;1
ISLFLU;18;3
JUGATR;19;3
JUGGRA;20;3
JUNBUL;16;3
JUNOBT;17;3
JUNSUB;17;3
LEAFLU;15;2
LEASPX;15;2
LEMGIB;5;3
LEMMIN;10;1
LEMPOL;6;2
LEMTRI;12;2
LEORIP;5;2
LEPLAC;0;3
LEPSPX;0;3
LITUNI;15;3
LURNAT;14;3
LYCEUR;11;1
LYNSPX;10;2
MARAQU;19;2
MAREMA;20;3
MELSPX;10;1
MENAQU;12;1
MEYTRI;16;3
MICSPX;12;2
MOGSPX;13;2
MONFOF;15;2
MONFON;15;2
MOOSPX;13;2
MOUSPX;13;2
MYOPAL;12;1
MYOSCO;12;1
MYRALT;13;2
MYRSPI;8;2
MYRVER;12;3
NAJMAA;5;3
NAJMAI;5;3
NAJMAJ;5;3
NAJMAM;5;3
NAJMAR;5;3
NAJMIN;6;3
NARCOM;20;3
NARSCA;20;3
NASOFF;11;1
NASOFO;11;1
NITFLE;14;2
NITGRA;14;2
NITMUC;14;2
NOSCOM;9;1
NOSPAR;9;1
NOSSPX;9;1
NOSVER;9;1
NUPLUT;9;1
NYMALB;12;3
NYPPEL;10;2
OCTFON;7;3
OEDSPX;6;2
OENAQU;11;2
OENCRO;12;2
OENFLU;10;2
ORTRIV;15;3
OSCSPX;11;1
PALCOM;15;2
PERAMP;9;2
PERHYD;8;2
PHAARU;10;1
PHICAE;18;3
PHICAL;18;2
PHIFOG;18;3
PHIMAR;18;3
PHISER;18;3
PHITOM;18;3
PHOSPX;13;2
PHRAUS;9;2
PLTRIP;12;1
POEPAL;16;3
POLAMP;9;2
POLHYD;8;2
PORPIN;12;2
POTACU;12;3
POTALP;13;2
POTBER;9;2
POTCOL;20;3
POTCOM;6;3
POTCOS;20;3
POTCRI;7;2
POTDEN;11;2
POTFLI;4;3
POTFRI;10;1
POTGRA;13;2
POTLUC;7;3
POTMUC;10;1
POTNAP;12;1
POTNAT;12;1
POTNOD;4;3
POTOBT;10;2
POTPAN;9;2
POTPEC;2;2
POTPER;9;2
POTPOL;17;3
POTPRA;13;2
POTSIC;20;3
POTTRI;7;2
RACACI;18;3
RANAQU;11;2
RANCIR;10;2
RANDIV;10;2
RANFLA;16;3
RANFLF;16;3
RANFLM;16;3
RANFLS;16;3
RANFLU;10;2
RANHED;12;3
RANOLO;19;3
RANOMI;19;3
RANPEC;13;2
RANPEE;12;1
RANPEF;12;2
RANPEL;12;2
RANPEP;12;2
RANPES;12;1
RANPEU;12;1
RANPEV;12;1
RANTRE;11;2
RANTRI;11;2
RANTRL;11;2
RHISPX;4;2
RHYRIP;12;1
RICCHA;15;2
RICMUL;15;2
RICPIN;14;2
RICSIN;15;2
RIIFLU;8;3
RORAMP;9;1
SAGSAG;6;2
SCAPAL;20;3
SCAUND;17;3
SCHSPX;1;3
SCIFLU;18;3
SCILAC;8;2
SCISYL;10;2
SCMPLU;18;3
SCNLAC;8;2
SCSRIV;15;3
SIEERE;14;2
SIRSPX;12;2
SIUERE;14;2
SIUINU;17;3
SONCRE;20;3
SPAANG;19;3
SPAEMB;13;2
SPAEME;7;1
SPAEML;7;1
SPAERE;10;1
SPAERM;10;1
SPAERN;10;1
SPAERO;10;1
SPAERR;10;1
SPAMIN;15;3
SPHAUR;20;3
SPHDEN;20;3
SPHPAL;20;3
SPISPX;10;1
SPRPOL;6;2
SPTNAT;0;3
SPTSPX;0;3
STISPX;13;2
STITEN;1;3
TETSPX;12;1
THAALO;15;2
THMALO;15;2
THOHIS;14;3
THORAM;14;3
THOSPX;14;3
TOLGLO;12;2
TOLPRO;15;3
TRANAT;10;3
TRISPX;11;2
TRNSPX;13;2
TYPANG;6;2
TYPLAT;8;1
ULOSPX;10;1
ULOZON;10;1
ULVINT;3;2
VALSPI;8;2
VAUSPX;4;1
VERANA;11;2
VERANQ;11;2
VERBEC;10;1
VERCAT;11;2
WARFLU;14;2
WOLARH;6;2
ZANMAJ;5;1
ZANPAL;5;1
ZANPAM;5;1
ZANPAP;5;1
ZYGSPX;13;3
