CdEntiteHydrographique;NomEntiteHydrographique
E6400600;Avre
E54-003-;La Canche
E6420600;Selle ou Somme
E1560600;Sensée
E4030650;Blequin
D0150750;Ruisseau de la Patûre aux Boeufs
E5100570;Slack
E6--0140;
E3340600;Marque
E5400650;Ternoise
E60-0392;Canal de St-Quentin Vers la Somme Canalisée
E6--0140;
E6--0140;
E6--0140;
E6--0140;
E6350850;Cologne
E6350750;Omignon
E6350750;Omignon
E4100600;Tiret
E2010600;Rivière Scarpe
E60-0392;Canal de St-Quentin Vers la Somme Canalisée
E6400600;Avre
E6400650;Trois Doms
E6380600;Ancre
E6380600;Ancre
E6450650;Nièvre
D0--022-;La Sambre Canalisée
E6--0140;
E6--0140;
E6--009-;La Somme Canalisée
D0150650;Helpe Majeure
D0150650;Helpe Majeure
D0130700;Helpe Mineure
D0130700;Helpe Mineure
D0130850;Ruisseau du Pont de Sains
D0200600;Solre
E1840820;Courant de Bernissart
E54-003-;La Canche
E5400650;Ternoise
E3340600;Marque
E1760600;Rhonelle
E1760750;écaillon
E6490630;Amboise
E1820700;Hogneau
E6490600;Trie
D0110600;Rivièrette ou Sambre
D0150850;Tarsy
D0180600;Cligneux
D0220700;Hante
E1310600;Erclin
E4030650;Blequin
E3010770;Souchez
E4110720;Liette
E6420600;Selle ou Somme
E4035013;etang de romelaere
D0--022-;La Sambre Canalisée
D0155013;lac du val joly
E2365014;mare a goriaux
E1745013;etang du vignoble
E4195043;etang d'ardres
E6400600;Avre
E6450650;Nièvre
E6--0140;
E6--0140;
E6--009-;La Somme Canalisée
D0190700;Flamenne
D0150750;Ruisseau de la Patûre aux Boeufs
E4190600;Canal de Marck
E4220830;Noortgracht Ouest de Grande Synthe
E4260800;Noortgracht Est
E53-0020;La Liane
E3--0120;La Lys
E6490900;Hable d'Ault
E6490700;Rivière du Dien
E1720600;Selle ou Escaut
E1820800;Aunelle
E1720600;Selle ou Escaut
D0110600;Rivièrette ou Sambre
D0150850;Tarsy
D0220600;Thure
E1820610;Trouille
E2010660;Le Gy
E5400650;Ternoise
E5200570;Wimereux
E6390700;Rivière d'Hallue
E5500570;Authie
E6490751;rivière des îles
E4100600;Tiret
E4100600;Tiret
E4100600;Tiret
D0--022-;La Sambre Canalisée
D0--022-;La Sambre Canalisée
D0130700;Helpe Mineure
D0150650;Helpe Majeure
D0130700;Helpe Mineure
D0150650;Helpe Majeure
D0150650;Helpe Majeure
D0200600;Solre
D0110600;Rivièrette ou Sambre
D0000600;Rivière Sambre
E1820610;Trouille
D0220600;Thure
E1280600;Rivière Escaut
E1280600;Rivière Escaut
E---004-;L'Escaut Canalisée
E---004-;L'Escaut Canalisée
E---004-;L'Escaut Canalisée
E---004-;L'Escaut Canalisée
E---004-;L'Escaut Canalisée
E---004-;L'Escaut Canalisée
E1840700;Jard
E1840700;Jard
E---004-;L'Escaut Canalisée
E---004-;L'Escaut Canalisée
E1--0252;Canal de St-Quentin Vers l'Escaut Canalisée
E1280650;Torrent d'Esnes
E1310600;Erclin
E1710600;Rivière Sensée
E1720600;Selle ou Escaut
E1720600;Selle ou Escaut
E1720600;Selle ou Escaut
E1760750;écaillon
E1760600;Rhonelle
E1820402;Canal de Mons de la Frontière Belge au Confluent de l'Escaut Canalisé
E1820700;Hogneau
E1840700;Jard
E1840900;Vergne
E2010600;Rivière Scarpe
E2010600;Rivière Scarpe
E2010800;Crinchon
E2030952;Bras de Décharge Amont Rg Ecl 31 Fampoux de Scarpe Canalisée à Vanne Bras de Charge
E2--0110;La Scarpe Canalisée
E2--0110;La Scarpe Canalisée
E2--0110;La Scarpe Canalisée
E2--0110;La Scarpe Canalisée
E2--0110;La Scarpe Canalisée
E2--0110;La Scarpe Canalisée
E15-0472;
E1560600;Sensée
E1560820;Canal Malderrez
E1560600;Sensée
E21-0272;Canal de la Sensée
E2360500;Grande Traitoire
E2370600;Courant de l'Hopital
E2370600;Courant de l'Hopital
E25-0152;L'Espierre
E2600600;Rivière Espierre
E3--0120;La Lys
E3--0120;La Lys
E3--0120;La Lys
E3--0120;La Lys
E3--0120;La Lys
E3660600;La Lawe
E3--0120;La Lys
E3--0120;La Lys
E3--0120;La Lys
E3--0120;La Lys
E3510850;Laquette
E3610750;Melde du Pas-de-Calais
E35-0282;Canal d'Aire à la Bassée
E35-0282;Canal d'Aire à la Bassée
E35-0282;Canal d'Aire à la Bassée
E3510600;Surgeon
E3630650;Guarbecque
E3630770;Rivière de Busnes
E3640620;La Clarence
E3640620;La Clarence
E3640630;Nave
E3660600;La Lawe
E3660600;La Lawe
E3660750;Loisne Aval
E3510710;Loisne Amont
E3650620;Canal d'Hazebrouck
E3660850;Becque de Steenwerck
E3--021-;Canal de la Deule
E3--021-;Canal de la Deule
E3--021-;Canal de la Deule
E3--021-;Canal de la Deule
E3--021-;Canal de la Deule
E3--021-;Canal de la Deule
E3--021-;Canal de la Deule
E3010750;Canal de Lens
E3340600;Marque
E3340700;Petite Marque
E3340600;Marque
E33-0352;Canal de Roubaix
E3820750;Becque de Neuville
E4900570;Yser
E4900570;Yser
E5100570;Slack
E5200570;Wimereux
E5200570;Wimereux
E53-0020;La Liane
E53-0020;La Liane
E54-003-;La Canche
E54-003-;La Canche
E54-003-;La Canche
E5410640;Course ou Canche
E54-003-;La Canche
E5400650;Ternoise
E5400650;Ternoise
E5400750;Planquette
E5400850;Crequoise
E5500570;Authie
E5500570;Authie
E5500570;Authie
E5500570;Authie
E4030570;Rivière Aa
E4030570;Rivière Aa
E4030650;Blequin
E4--001-;L'Aa Canalisée
E4--001-;L'Aa Canalisée
E4--001-;L'Aa Canalisée
E4390650;Grand Drack
E40-0182;Canal de Neuffossé
E4220262;Canal de Lynck à Coppenaxfort
E42-0602;Canal de la Basse Colme
E426006-;
E42-0172;Canal de Bourbourg
E4220072;Nouvelle Désserte Fluviale
E42-0172;Canal de Bourbourg
E4290600;Canal des Moeres
E491005-;
E4290560;Canal Exutoire des Wateringues
E4260750;Canal de Mardyck
E41-0082;Canal de Calais
E41-0082;Canal de Calais
E4110600;Canal d'Audruicq
E4110800;Canal d'Ardres
E41-0082;Canal de Calais
E4190750;Canal des Pierrettes
E4390600;Rivière d'Oye
E4190600;Canal de Marck
E4190600;Canal de Marck
E4110900;Canal de Guines
E4100600;Tiret
E6--009-;La Somme Canalisée
E6--0140;
E6070650;Fossé des Allemagnes
E6--0140;
E6--0140;
E6350650;Rivièrette/Somme
E6--0140;
E6--0140;
E6350750;Omignon
E6--0140;
E6350850;Cologne
E6--0140;
E6350850;Cologne
E6--0140;
E6380600;Ancre
E60-0392;Canal de St-Quentin Vers la Somme Canalisée
E60-0392;Canal de St-Quentin Vers la Somme Canalisée
E60-0392;Canal de St-Quentin Vers la Somme Canalisée
E60-0392;Canal de St-Quentin Vers la Somme Canalisée
E6--009-;La Somme Canalisée
E6--009-;La Somme Canalisée
E6--009-;La Somme Canalisée
E6--009-;La Somme Canalisée
E6--009-;La Somme Canalisée
E6--009-;La Somme Canalisée
E6--009-;La Somme Canalisée
E6--009-;La Somme Canalisée
E61-0472;
E6150600;Ingon
E6220472;
E6380600;Ancre
E6390700;Rivière d'Hallue
E6400600;Avre
E6400600;Avre
E6400600;Avre
E6400650;Trois Doms
E6400750;Noye
E6400750;Noye
E6400700;Luce
E6420600;Selle ou Somme
E6420600;Selle ou Somme
E6420650;Evoissons
E6420700;Rivière de Poix
E6450650;Nièvre
E6450800;Rivière d'Airaines
E6450600;Rivière du Saint-Landon
E6490960;Canal de Lanchère S Nord
E6490900;Hable d'Ault
E6480660;Novion
E6490830;Maye
E6490670;Canal de la Maye
E42-0362;
E53-0020;La Liane
E3--0120;La Lys
A---0000;Le Rhin
A0080300;La Lucelle
A0200300;Ruisseau de Neuwiller
A---0000;Le Rhin
A---0012;Grand Canal d'Alsace
A01-0200;Ruisseau la Birsig
A01-0200;Ruisseau la Birsig
A---0012;Grand Canal d'Alsace
A---0000;Le Rhin
A02-0200;Ruisseau l'Augraben
A0220570;Ruisseau l'Altenbach
A0220650;Ruisseau le Liesbach
A02-0200;Ruisseau l'Augraben
A0240300;Ruisseau Alte-Bach
A0240370;Ruisseau l'Attenbach
A0240400;Ruisseau l'Aubach
A0240300;Ruisseau Alte-Bach
A0240300;Ruisseau Alte-Bach
A0240560;Ruisseau le Muehlgraben
;
A0240300;Ruisseau Alte-Bach
;
A0250300;Ruisseau le Saurentz
A0250300;Ruisseau le Saurentz
;
A0250370;Ruisseau de Gutzwillen
A0250300;Ruisseau le Saurentz
;
;
;
A0250300;Ruisseau le Saurentz
A0250300;Ruisseau le Saurentz
;
;
A0260340;Ruisseau le Riedgraben
A0260340;Ruisseau le Riedgraben
A0260300;Ruisseau Weiherbachgraben
;
A0260300;Ruisseau Weiherbachgraben
A0260300;Ruisseau Weiherbachgraben
A0260300;Ruisseau Weiherbachgraben
A0260300;Ruisseau Weiherbachgraben
;
A0260340;Ruisseau le Riedgraben
;
A0260620;Ruisseau de Muhlbach de Habsheim
A---0000;Le Rhin
A---0000;Le Rhin
A0260620;Ruisseau de Muhlbach de Habsheim
A---0012;Grand Canal d'Alsace
A---0012;Grand Canal d'Alsace
A0410300;Ruisseau le Muhlbach de Schoenau
;
A---0000;Le Rhin
A---0000;Le Rhin
A---0000;Le Rhin
;
A0410300;Ruisseau le Muhlbach de Schoenau
A0410300;Ruisseau le Muhlbach de Schoenau
A0410300;Ruisseau le Muhlbach de Schoenau
A0410300;Ruisseau le Muhlbach de Schoenau
;
A---0012;Grand Canal d'Alsace
A0--0102;Canal de Neuf-Brisach
A---0022;Canal du Rhone au Rhin
A0340302;Canal d'Irrigation de la Hardt
A0400320;Ruisseau le Saulach
A0400320;Ruisseau le Saulach
A0--0102;Canal de Neuf-Brisach
A0--0102;Canal de Neuf-Brisach
A0--0102;Canal de Neuf-Brisach
A0--0102;Canal de Neuf-Brisach
A03-0202;Ruisseau du Muhlbach de la Hardt
A03-0202;Ruisseau du Muhlbach de la Hardt
A0330300;Ruisseau le Grungiessen
A0330300;Ruisseau le Grungiessen
;
;
A---0000;Le Rhin
A0520550;Ruisseau Istergraben
A0520330;Ruisseau le Neuergraben
A0520300;Ruisseau le Muhlbach de Daubensand
;
A0530400;Ruisseau le Heulachgraben
A0530310;Ruisseau Muhlbach de Gerstheim
A0--0132;Canal d'alimentation du Bassin de Plobsheim
A0--0132;Canal d'alimentation du Bassin de Plobsheim
;
;
;
;
A---0012;Grand Canal d'Alsace
A---0000;Le Rhin
;
A---0000;Le Rhin
A---0022;Canal du Rhone au Rhin
A---0142;Canal de Colmar
A0430300;Ruisseau l'Ischert
A0430300;Ruisseau l'Ischert
;
A0510300;Ruisseau le Brunnwasser
A0510300;Ruisseau le Brunnwasser
;
;
;
A0510300;Ruisseau le Brunnwasser
;
;
A0530310;Ruisseau Muhlbach de Gerstheim
;
A0540300;Ruisseau Langgiessen
A0530750;Ruisseau la Vieille Weil
;
;
;
A---0030;L'Ill
A---0030;L'Ill
A1010300;Ruisseau Limendenbach
A1020790;Ruisseau Gersbach
A1020790;Ruisseau Gersbach
A---0030;L'Ill
A1030640;Ruisseau de Willer
A1030640;Ruisseau de Willer
A1030790;Ruisseau le Feldbach
A1040370;Ruisseau le Hirtzbach
A1040370;Ruisseau le Hirtzbach
A1040530;Ruisseau le Dorfbaechle
A---0030;L'Ill
A1050320;Ruisseau le Zipfelgraben
A1050320;Ruisseau le Zipfelgraben
A---0030;L'Ill
A10-0200;Ruisseau le Thalbach
A---0030;L'Ill
A11-0200;La Largue
A11-0200;La Largue
A1100710;Ruisseau le Grumbach
A11-0200;La Largue
A1110410;Ruisseau de Largitzen
A1110410;Ruisseau de Largitzen
A11-0200;La Largue
A11-0200;La Largue
A11-0200;La Largue
A1120730;Ruisseau Elbaechel
A1120730;Ruisseau Elbaechel
A1130300;Ruisseau le Traubach
A1130300;Ruisseau le Traubach
A1140350;Ruisseau de Ballersdorf
A1140540;Ruisseau Soultzbach
A---0022;Canal du Rhone au Rhin
A11-0200;La Largue
A11-0200;La Largue
A1150670;Ruisseau le Krebsbach
A11-0200;La Largue
A1150840;Ruisseau Weihergraben
A---0030;L'Ill
A12-0200;La Doller
A1200500;Ruisseau de l'Alfeld
;
A1200500;Ruisseau de l'Alfeld
A1200750;Ruisseau Seebach
A1210660;Ruisseau le Lachtelweiherbaechel
A12-0200;La Doller
A12-0200;La Doller
A12-0200;La Doller
A12-0200;La Doller
A1220690;Ruisseau le Bourbach
A12-0200;La Doller
A12-0200;La Doller
A12-0200;La Doller
A12-0200;La Doller
A1230500;Ruisseau le Michelbach
A12-0200;La Doller
A12-0200;La Doller
A12-0200;La Doller
A1240520;Ruisseau le Baerenbach
A1240520;Ruisseau le Baerenbach
A1240882;Ruisseau Klostermuhlenbachlein
A1240520;Ruisseau le Baerenbach
A1240520;Ruisseau le Baerenbach
A12-0200;La Doller
;
A12-0200;La Doller
A12-0200;La Doller
;
A12-0200;La Doller
A1250532;Ruisseau le Steinbaechel
A1250532;Ruisseau le Steinbaechel
A1250640;Ruisseau Gross Runzgraben
A1250640;Ruisseau Gross Runzgraben
A1250640;Ruisseau Gross Runzgraben
A1250640;Ruisseau Gross Runzgraben
A1250532;Ruisseau le Steinbaechel
A1250532;Ruisseau le Steinbaechel
A1250532;Ruisseau le Steinbaechel
A12-0200;La Doller
A---0030;L'Ill
A1320302;Ruisseau le Dollerbaechlein
A1320302;Ruisseau le Dollerbaechlein
A1320302;Ruisseau le Dollerbaechlein
A1320302;Ruisseau le Dollerbaechlein
A1330432;Ruisseau Quatelbach
A14-0200;La Thur
A14-0200;La Thur
A14-0200;La Thur
A1200750;Ruisseau Seebach
A14-0200;La Thur
A1420350;Ruisseau Rimbachruntz
A1420570;Ruisseau Bruscher
A14-0200;La Thur
A14-0200;La Thur
A1430340;Ruisseau le Waldrunz
A14-0200;La Thur
A1430690;Ruisseau Wissbach
A1430710;Ruisseau de Vordermatt
A1430750;Ruisseau le Mittelbachrunz
A1430690;Ruisseau Wissbach
A1440660;Ruisseau Steinkloetzrunz
A14-0200;La Thur
A14-0200;La Thur
A14-0200;La Thur
A1450402;Canal Thann-Cernay
A1450402;Canal Thann-Cernay
A14-0200;La Thur
A14-0200;La Thur
A14-0200;La Thur
A---0030;L'Ill
A---0030;L'Ill
A---0030;L'Ill
A---0030;L'Ill
A15-0222;La Vieille Thur
A15-0222;La Vieille Thur
;
;
A15-0200;La Lauch
A15-0200;La Lauch
A15-0200;La Lauch
A15-0200;La Lauch
A15-0200;La Lauch
A15-0200;La Lauch
A15-0200;La Lauch
A15-0200;La Lauch
A1520402;Ruisseau le Checklenbach
A15-0200;La Lauch
A15-0200;La Lauch
A1530300;Ruisseau l'Ohmbach
A1530550;Ruisseau le Holtzcanal
A1530550;Ruisseau le Holtzcanal
A15-0212;Ruisseau le Lohbach
A15-0212;Ruisseau le Lohbach
A15-0200;La Lauch
A15-0200;La Lauch
A---0030;L'Ill
A---0030;L'Ill
A---0030;L'Ill
A2--0100;La Fecht
A2000530;Ruisseau Altenweiherbach
A2000630;Ruisseau la Wormsa
A2000730;Ruisseau dit la Fecht
A2--0100;La Fecht
A2--0100;La Fecht
A2020300;Ruisseau la Petite Fecht
A2020300;Ruisseau la Petite Fecht
A2020300;Ruisseau la Petite Fecht
A2030530;Ruisseau le Krebsbach
A2030530;Ruisseau le Krebsbach
A2--0100;La Fecht
A2--0100;La Fecht
A1600952;Ruisseau de Logelbach
A1600952;Ruisseau de Logelbach
A1600952;Ruisseau de Logelbach
A2--0100;La Fecht
A2100340;Ruisseau du Lac Noir
A2100490;Ruisseau de Tannach
A2110300;La Bechine
A2110300;La Bechine
A21-0200;La Weiss
A2120320;Ruisseau l'Ure
A21-0200;La Weiss
A21-0200;La Weiss
A21-0200;La Weiss
A2130350;Ruisseau le Walbach
A21-0200;La Weiss
A21-0200;La Weiss
A2140480;Ruisseau le Sambach
A2150300;Ruisseau le Strengbach
A2150300;Ruisseau le Strengbach
A2--0100;La Fecht
A2--0100;La Fecht
A2160530;Ruisseau le Breitbrunnenwasser
A2160530;Ruisseau le Breitbrunnenwasser
A2160600;Ruisseau le Brunnenwasser
A2160600;Ruisseau le Brunnenwasser
A---0030;L'Ill
A2260902;Ruisseau l'Intermittlengraben
A2200320;Ruisseau le Brunnenwasser
;
A2200320;Ruisseau le Brunnenwasser
A---0030;L'Ill
A2210400;Ruisseau l'Horgiessen
A2210400;Ruisseau l'Horgiessen
A2210460;Ruisseau le Bergenbach
A2220620;Ruisseau l'Orchbach
A2220620;Ruisseau l'Orchbach
A2220660;Ruisseau le Riedbrunnen
A2220712;Ruisseau le Forstlach
A2220742;Ruisseau le Krummlach
A2220792;Le Hollockgraben
A2220870;Ruisseau l'Holzerbach
A2220822;Ruisseau l'Oberriedgraben
A2220892;Ruisseau l'Unterriedgraben
A2220801;Ruisseau le Grossschlucht
A---0030;L'Ill
A22-0302;Canal Vauban
A22-0302;Canal Vauban
A22-0462;Rigole de Widensohlen
A22-0200;Ruisseau la Blind
A2260940;Ruisseau le Schiedgraben
A2260590;Ruisseau le Scheidgraben
;
A2260710;Ruisseau le Neugraben
A22-0200;Ruisseau la Blind
A2260902;Ruisseau l'Intermittlengraben
A22-0200;Ruisseau la Blind
A2270920;Ruisseau le Daechertsgraben
A23-0200;Le Giessen
A23-0200;Le Giessen
;
A23-0200;Le Giessen
A2300530;Ruisseau Dit le Giessen
A2300530;Ruisseau Dit le Giessen
A2310460;Ruisseau le Lutterbach
A23-0200;Le Giessen
A23-0200;Le Giessen
A23-0210;La Liepvrette
A23-0210;La Liepvrette
A2330860;Ruisseau le Rombach
A23-0210;La Liepvrette
A23-0200;Le Giessen
A23-0200;Le Giessen
A23-0200;Le Giessen
A23-0200;Le Giessen
A2360720;Ruisseau le Friesengraben
A2360720;Ruisseau le Friesengraben
A2360580;Ruisseau le Hanfgraben
A2360580;Ruisseau le Hanfgraben
A2360580;Ruisseau le Hanfgraben
A2360402;Ruisseau l'Aubach
A2360692;Ruisseau le Maerdergraben
A2360692;Ruisseau le Maerdergraben
A2360502;Ruisseau le Bornen
;
A2360502;Ruisseau le Bornen
A---0030;L'Ill
A---0030;L'Ill
;
A2360870;La Lutter
A2360870;La Lutter
A2370470;Ruisseau Hanfgraben
A---0030;L'Ill
A2380772;Canal de Decharge de l'Ill
A24-0200;La Zembs
A24-0200;La Zembs
A24-0200;La Zembs
A24-0200;La Zembs
A2420772;Canal d'Alimentation de l'Ill
A---0030;L'Ill
A25-0200;L'Andlau
A25-0200;L'Andlau
A25-0200;L'Andlau
A25-0200;L'Andlau
A25-0200;L'Andlau
A2520300;Ruisseau la Kirneck
A2520300;Ruisseau la Kirneck
A25-0200;L'Andlau
A2530380;Ruisseau le Darsbach
A2530380;Ruisseau le Darsbach
A25-0200;L'Andlau
A25-0200;L'Andlau
A2550630;Ruisseau Schernetz
A25-0212;Ruisseau la Scheer
A25-0212;Ruisseau la Scheer
A25-0212;Ruisseau la Scheer
A25-0200;L'Andlau
A26-0200;Ruisseau l'Ehn
A26-0200;Ruisseau l'Ehn
A26-0200;Ruisseau l'Ehn
A26-0200;Ruisseau l'Ehn
A2620300;Ruisseau le Rosenmeer
A2620300;Ruisseau le Rosenmeer
A2620300;Ruisseau le Rosenmeer
A2620300;Ruisseau le Rosenmeer
A2620300;Ruisseau le Rosenmeer
A26-0200;Ruisseau l'Ehn
A2630332;Canal de l'Ehn
A2630742;Ruisseau le Vieil Ergelsenbach
A2630742;Ruisseau le Vieil Ergelsenbach
A26-0200;Ruisseau l'Ehn
A26-0200;Ruisseau l'Ehn
A---0030;L'Ill
A---0030;L'Ill
A---0030;L'Ill
A2--0110;La Bruche
A2--0110;La Bruche
A2700780;Ruisseau Climontaine
A2--0110;La Bruche
A2--0110;La Bruche
A2--0110;La Bruche
A2720320;Ruisseau d'Albet
A2--0110;La Bruche
;
A2720420;Ruisseau de Framont
A2720890;Ruisseau le Barenbach
A2720890;Ruisseau le Barenbach
A2--0110;La Bruche
A2730380;Ruisseau Bass de Russ
A2730380;Ruisseau Bass de Russ
A2--0110;La Bruche
A2730530;Ruisseau Netzenbach
A2740900;Ruisseau Luttenbach
A2740670;Ruisseau la Hasel
A2740670;Ruisseau la Hasel
A2--0110;La Bruche
A2750380;Ruisseau la Magel
A2750380;Ruisseau la Magel
A2--0110;La Bruche
A2--0110;La Bruche
A2--0110;La Bruche
A2--0110;La Bruche
A2--0110;La Bruche
A2760752;Canal Couleaux
A2--0110;La Bruche
A2--0110;La Bruche
A2--0110;La Bruche
A2--0110;La Bruche
A28-0200;La Mossig
A28-0200;La Mossig
A2--0110;La Bruche
A2810300;Ruisseau de la Sommerau
A28-0200;La Mossig
A28-0200;La Mossig
A2820350;Ruisseau le Satbach
A28-0200;La Mossig
A2820550;Ruisseau le Heiligenbach
A2820670;Ruisseau le Wiedgraben
A2820550;Ruisseau le Heiligenbach
A28-0200;La Mossig
A28-0200;La Mossig
A28-0200;La Mossig
A2--0110;La Bruche
A2--0110;La Bruche
A2--0110;La Bruche
A2850752;Le Bras d'Altorf
A2850752;Le Bras d'Altorf
A2--0110;La Bruche
A2860692;Canal de la Bruche
;
A2860692;Canal de la Bruche
A2860692;Canal de la Bruche
;
A2860692;Canal de la Bruche
;
A2860692;Canal de la Bruche
A2860692;Canal de la Bruche
A2860692;Canal de la Bruche
A2860692;Canal de la Bruche
A2860692;Canal de la Bruche
A2860692;Canal de la Bruche
A2860692;Canal de la Bruche
A2860692;Canal de la Bruche
A2860692;Canal de la Bruche
;
A2860760;Ruisseau le Muhlbach
A2860692;Canal de la Bruche
A2860760;Ruisseau le Muhlbach
;
;
A2870442;Riviere Schwarzwasser
A2870302;Le Rhin Tordu
A---0030;L'Ill
A---0030;L'Ill
A29-0200;La Souffel
A29-0200;La Souffel
A2900340;Ruisseau le Haltbach
A29-0200;La Souffel
;
;
A29-0200;La Souffel
A29-0200;La Souffel
A2900400;Ruisseau le Plaetzerbaechel
A2900400;Ruisseau le Plaetzerbaechel
A2900400;Ruisseau le Plaetzerbaechel
A29-0200;La Souffel
A29-0200;La Souffel
A2910310;Ruisseau de Musau
;
A2910310;Ruisseau de Musau
A2910310;Ruisseau de Musau
A2910310;Ruisseau de Musau
A29-0200;La Souffel
A2920300;Ruisseau le Leisbach
A2920300;Ruisseau le Leisbach
A2920300;Ruisseau le Leisbach
A2920430;Ruisseau le Kolbsenbach
A2920430;Ruisseau le Kolbsenbach
A2920430;Ruisseau le Kolbsenbach
A2920430;Ruisseau le Kolbsenbach
A2920430;Ruisseau le Kolbsenbach
A2920430;Ruisseau le Kolbsenbach
A29-0200;La Souffel
A29-0200;La Souffel
A---0030;L'Ill
;
A---0030;L'Ill
A---0030;L'Ill
;
;
;
;
;
;
A2940302;Contre Canal de Drainage du Rhin
A---0030;L'Ill
;
A2940332;Ruisseau le Steingiessen
A2940332;Ruisseau le Steingiessen
A2940332;Ruisseau le Steingiessen
A---0000;Le Rhin
;
;
;
;
A3--0100;La Moder
;
A3100330;Ruisseau de Rosteig
A3100580;Ruisseau le Fischbach
A3100630;Ruisseau le Moosbaechel
A3--0100;La Moder
A3110760;Ruisseau le Mittelbach
A3110760;Ruisseau le Mittelbach
A3--0100;La Moder
A3--0100;La Moder
A3120500;Ruisseau le Soultzbach
A3120500;Ruisseau le Soultzbach
A3--0100;La Moder
A3--0100;La Moder
A3--0100;La Moder
A3120760;Ruisseau le Wappachgraben
A31-0200;Ruisseau le Rothbach
A31-0200;Ruisseau le Rothbach
A31-0200;Ruisseau le Rothbach
A31-0200;Ruisseau le Rothbach
A31-0200;Ruisseau le Rothbach
A3--0100;La Moder
A3--0100;La Moder
A32-0200;La Zinsel du Nord
;
A32-0200;La Zinsel du Nord
;
A32-0200;La Zinsel du Nord
;
;
A32-0200;La Zinsel du Nord
A3200390;Ruisseau Wiessbach
A32-0200;La Zinsel du Nord
A32-0200;La Zinsel du Nord
;
A32-0200;La Zinsel du Nord
A32-0200;La Zinsel du Nord
A32-0200;La Zinsel du Nord
A32-0210;Ruisseau le Falkensteinbach
A32-0210;Ruisseau le Falkensteinbach
A3220420;Ruisseau de Waldeck
A3220420;Ruisseau de Waldeck
A32-0210;Ruisseau le Falkensteinbach
A3220750;Ruisseau de l'Etang de Lieschbach
A32-0210;Ruisseau le Falkensteinbach
A32-0210;Ruisseau le Falkensteinbach
A32-0210;Ruisseau le Falkensteinbach
A3230470;Ruisseau le Rothenbach
A3230480;Ruisseau Moosbach
A3230470;Ruisseau le Rothenbach
A3230300;Ruisseau Schnepfenbach
A3230310;Ruisseau le Schafweiherbach
A3230470;Ruisseau le Rothenbach
A3230640;Ruisseau le Neudoerforbach
A3230640;Ruisseau le Neudoerforbach
A32-0220;Ruisseau le Schwarzbach
A3250390;Ruisseau la Lauterbach
A32-0220;Ruisseau le Schwarzbach
A32-0220;Ruisseau le Schwarzbach
A32-0220;Ruisseau le Schwarzbach
A32-0220;Ruisseau le Schwarzbach
A32-0210;Ruisseau le Falkensteinbach
A32-0200;La Zinsel du Nord
A32-0200;La Zinsel du Nord
A32-0200;La Zinsel du Nord
A32-0200;La Zinsel du Nord
A3--0100;La Moder
A3300310;Ruisseau le Lomdgraben
A3300310;Ruisseau le Lomdgraben
A3--0100;La Moder
A3310530;Ruisseau le Rothbach
A3310580;Ruisseau du Chateau Walk
A3310550;Ruisseau l'Eschbach
A3310530;Ruisseau le Rothbach
A3310530;Ruisseau le Rothbach
A3320540;Ruisseau le Kesselgraben
A3320860;Ruisseau la Vieille Zorn
A3--0100;La Moder
A3320320;Ruisseau le Waschgraben
A3--0100;La Moder
