CdStationMesureEauxSurface;LbStationMesureEauxSurface;CoordXStationMesureEauxSurface;CoordYStationMesureEauxSurface;NomEntiteHydrographique;TypeCEStationMesureEauxSurface
01000173;L'AVRE à MOREUIL (80);660859.749;6966068.22;Avre;
01000217;LA CANCHE à BRIMEUX (62);616838.279;7039571.89;La Canche;
01000238;SELLE/SOMME à AMIENS (80);648120.039;6978618.92;Selle ou Somme;
01000274;LA SENSÉE À ETAING (62);699757.79;7020087.95;Sensée;
01000290;LE BLEQUIN À AFFRINGUES (62);634622.439;7066304.92;Blequin;
01000390;PÂTURE AUX BOEUFS (RUISSEAU DE LA) ET CHÊNEAU (RUISSEAU DU) ;778061.24;7004855.5;Ruisseau de la Patûre aux Boeufs;
01000477;LA SLACK À RINXENT (62);610228.779;7078879.89;Slack;
01000490;LA SOMME RIVIÈRE À FONTAINE LES CLERCS (02);716581.89;6967664.77;;
01000509;MARQUE à SAINGHIN EN MELANTOIS (59);713322.1;7054929.55;Marque;
01000538;TERNOISE à ANVIN (62);647181.979;7039113.16;Ternoise;
01000592;LE CANAL DE ST-QUENTIN VERS LA SOMME CANALISEE à GAUCHY (02);718664.15;6969948.18;Canal de St-Quentin Vers la Somme Canalisée;
01000593;LA SOMME RIVIERE à SAINT QUENTIN (02);720232.03;6970795.26;;
01000594;LA SOMME RIVIERE à TUGNY ET PONT (02);711418.11;6962126.03;;
01000596;LA SOMME RIVIERE à ARTEMPS (02);713560.95;6963368.0;;
01000600;LA SOMME RIVIERE à DURY (02);710100.77;6960296.22;;
01000602;COLOGNE à BUIRE COURCELLES (80);700318.4;6980033.59;Cologne;
01000604;L'OMIGNON à VERMAND (02);710791.29;6974922.96;Omignon;
01000605;L'OMIGNON À DEVISE (80);700279.85;6973284.25;Omignon;
01000729;LA HEM À TOURNEHEM-SUR-LA-HEM (62);631465.909;7078646.24;Tiret;
01000827;SCARPE RIVIÈRE à MONT SAINT ELOI (62);677943.739;7026644.04;Rivière Scarpe;
01000864;LE CANAL DE ST-QUENTIN VERS LA SOMME CANALISEE à ARTEMPS (02;712058.41;6962100.31;Canal de St-Quentin Vers la Somme Canalisée;
01000947;AVRE à DAVENESCOURT (80);671047.649;6956603.63;Avre;
01000955;LES TROIS DOMS à AYENCOURT (80);668196.399;6947341.12;Trois Doms;
01000975;L'ANCRE à THIEPVAL (80);676242.589;6996286.77;Ancre;
01000976;ANCRE à DERNANCOURT (80);673126.059;6985788.74;Ancre;
01000990;NIEVRE à BERTEAUCOURT LES DAMES (80);638742.689;6994564.03;Nièvre;
01001000;LA SAMBRE CANALISÉE À LOCQUIGNOL (59);751470.47;7004903.05;La Sambre Canalisée;
01001102;LA SOMME RIVIERE à VOYENNES (80);699146.33;6964216.26;;
01001103;LA SOMME RIVIERE à BETHENCOURT SUR SOMME (80);697672.939;6966250.95;;
01001112;LA SOMME CANALISEE à BOISMONT (80);606174.439;7007707.21;La Somme Canalisée;
01001122;L'HELPE MAJEURE À EPPE SAUVAGE (59);784224.69;7002720.07;Helpe Majeure;
01001123;L'HELPE MAJEURE À WILLIES (59);778649.36;7002859.64;Helpe Majeure;
01001128;L'HELPE MINEURE À ETROEUNGT (59);766583.49;6996224.33;Helpe Mineure;
01001131;HELPE MINEURE à GRAND FAYT (59);757716.99;7002035.11;Helpe Mineure;
01001133;LE RUISSEAU DU PONT DE SAINS À ETROEUNGT (59);769919.37;6995443.5;Ruisseau du Pont de Sains;
01001137;LA SOLRE à SOLRINNES (59);776206.81;7012414.45;Solre;
