cd_taxon;nom_taxon;cd_sandre;id_groupe;auteur;cd_valide;cd_contrib
ACHMIL;Achillea millefolium;30107;9;L.;ACHMIL;ACHMIL
ACHPTA;Achillea ptarmica;1723;8;L.;ACHPTA;ACHPTA
ACNCAL;Achnatherum calamagrostis;35493;9;(L.) P.Beauv.;ACNCAL;ACNCAL
ACOCAL;Acorus calamus;1459;7;L.;ACOCAL;ACOCAL
ACOGRA;Acorus gramineus;19748;7;Sol.;ACOGRA;ACOGRA
ACOSPX;Acorus sp.;1458;9;L.;ACOSPX;ACOSPX
ACOVUL;Acorus vulgaris;31515;7;Simonk.;ACOCAL;ACOCAL
ACRCOR;Acrocladium cordifolium;31517;4;(Hedw.) P.Rich. & Wallace;CAICOR;CAICOR
ACRCUS;Acrocladium cuspidatum ;1221;4;(Hedw.) Lindb.;CAECUS;CAECUS
ADICAP;Adiantum capillus-veneris;1406;6;L.;ADICAP;ADICAP
AGPCAN;Agropyron caninum;1540;9;(L.) P.Beauv.;ROECAC;ROECAC
AGPREP;Agropyron repens;1541;9;(L.) Beauv.;ELTRER;ELTREP
AGRCAC;Agrostis capillaris subsp. capillaris;31534;9;L.;AGRCAC;AGRCAP
AGRCAN;Agrostis canina;19749;8;L.;AGRCAN;AGRCAN
AGRCAP;Agrostis capillaris;31516;9;L.;AGRCAP;AGRCAP
AGRCUR;Agrostis curtisii;29909;9;Vahl.;AGRCUR;AGRCUR
AGRGIG;Agrostis gigantea;19750;8;Roth.;AGRGIG;AGRGIG
AGRSPX;Agrostis sp.;1542;9;L.;AGRSPX;AGRSPX
AGRSTO;Agrostis stolonifera;1543;7;L.;AGRSTO;AGRSTO
AGRVUL;Agrostis vulgaris;19751;9;With.;AGRCAC;AGRCAP
AJUREP;Ajuga reptans;29911;9;L.;AJUREP;AJUREP
ALAOFF;Althaea officinalis;34422;9;L.;ALAOFF;ALAOFF
ALCSCA;Alicularia scalaris ;31532;5;(Schrad.) Corda;NARSCA;NARSCA
ALDVES;Aldrovanda vesiculosa;19752;10;L.;ALDVES;ALDVES
ALIBRE;Alisma brevipes ;31529;10;Greene;ALIPLA;ALIPLA
ALIGRA;Alisma gramineum;1445;10;Lej.;ALIGRA;ALIGRA
ALILAN;Alisma lanceolatum;1446;10;With.;ALILAN;ALILAN
ALINAT;Alisma natans;31518;10;L.;LURNAT;LURNAT
ALIPLA;Alisma plantago-aquatica;1447;10;L.;ALIPLA;ALIPLA
ALISPX;Alisma sp.;1444;10;L.;ALISPX;ALISPX
ALISTE;Alisma stenophyllum ;31533;10;(Asch. & Graebn.) Sam.;ALILAN;ALILAN
ALISUB;Alisma subcordatum ;31519;10;Raf.;ALIPLA;ALIPLA
ALIWAH;Alisma wahlenbergii;19753;10;(Holmb.) Juz.;ALIGRA;ALIGRA
ALOAEQ;Alopecurus aequalis;19754;8;Sobol.;ALOAEQ;ALOAEQ
ALOGEN;Alopecurus geniculatus;1547;8;L.;ALOGEN;ALOGEN
ALOPRA;Alopecurus pratensis;19755;8;L.;ALOPRA;ALOPRA
ALOSPX;Alopecurus sp.;1544;9;L.;ALOSPX;ALOSPX
ALTFIL;Althenia filiformis;19756;10;Petit;ALTFIL;ALTFIL
ALTORI;Althenia orientalis;19757;10;(Tzvelev) Garcia-Mur. & Talavera;ALTORI;ALTORI
AMABLI;Amaranthus blitum;32250;9;L.;AMABLI;AMABLI
AMARET;Amaranthus retroflexus;34423;9;L.;AMARET;AMARET
AMASPX;Amaranthus sp.;19758;9;L.;AMASPX;AMASPX
AMBFLU;Amblystegium fluviatile;1223;4;(Hedw.) Schimp.;HYAFLU;AMBFLU
AMBHUM;Amblystegium humile;19759;4;(P.Beauv.) Crundw.;HYAHUM;AMBHUM
AMBRIP;Amblystegium riparium;1219;4;(Hedw.) Schimp.;LEORIP;AMBRIP
